,path,author,sex,birthday,header,created,sphere,genre_fi,type,topic,chronotop,style,audience_age,audience_level,audience_size,source,publication,publisher,publ_year,medium,subcorpus,tagging,words
141,post1950/vagr/vagr6/volkov/pogruzh,О. В. Волков,муж,1900,Из воспоминаний старого тенишевца,1988,публицистика | нехудожественная,,мемуары,,Россия: 1914-1920,нейтральный,н-возраст,н-уровень,большая,"Олег Волков. Погружение во тьму. М.: Вагриус, 2001","Олег Волков. Погружение во тьму. М.: Вагриус, 2001",Вагриус,2001.0,книга,ПК письменных текстов,none,136647
142,post1950/vagr/vagr7/klimontovich/dalee-vezde,Николай Климонтович,муж,1951,Далее ― везде,2001,художественная,нежанровая проза,роман,,Россия/СССР: 1960-1980-е,нейтральный,н-возраст,н-уровень,большая,"Николай Климонтович. Далее ― везде. ― М.: Вагриус, 2002",Николай Климонтович. Далее ― везде,Вагриус,2002.0,книга,ПК письменных текстов,none,105756
143,post1950/vagr/vagr7/tarasov/millioner,Артем Тарасов,муж,1950,Миллионер,2004,публицистика | нехудожественная,,мемуары,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Артем Тарасов. Миллионер. - М.: Вагриус, 2004",Артем Тарасов. Миллионер,Вагриус,2004.0,книга,ПК письменных текстов,none,176930
144,post1950/vagr/vagr8/davydov/teatr,Владлен Давыдов,муж,1924,Театр моей мечты,2004,публицистика | нехудожественная,,мемуары,искусство и культура,Россия/СССР: советский период,нейтральный,н-возраст,н-уровень,большая,"Владлен Давыдов. Театр моей мечты. ― М.: Вагриус, 2004",Владлен Давыдов. Театр моей мечты,Вагриус,2004.0,книга,ПК письменных текстов,none,127466
145,post1950/vagr/vagr8/gorelik/saharov,Геннадий Горелик,муж,1945-1950,Андрей Сахаров. Наука и свобода,2004,учебно-научная | нехудожественная,,монография,наука и технологии|физика|политика и общественная жизнь,,нейтральный,н-возраст,н-уровень,большая,"Горелик Г. Андрей Сахаров. Наука и свобода. М.: Вагриус, 2004",Горелик Г. Андрей Сахаров. Наука и свобода,Вагриус,2004.0,книга,ПК письменных текстов,none,143031
146,post1950/vagr/vagr8/vishnevetskaja/vyshmes,Марина Вишневецкая,жен,1955,Вышел месяц из тумана,1997,художественная,нежанровая проза,повесть|рассказ,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Марина Вышневецкая. Вышел месяц из тумана. ― М.: Вагриус, 1998",Марина Вышневецкая. Вышел месяц из тумана,Вагриус,1998.0,книга,ПК письменных текстов,none,106686
147,post1950/vagr/vagr8/vladimov/tri_min,Георгий Владимов,муж,1931,Три минуты молчания,1969,художественная,нежанровая проза,роман,,Россия/СССР: 1960-1980-е,нейтральный,н-возраст,н-уровень,большая,"Георгий Владимов. Три минуты молчания. М.: Вагриус, 2004",Георгий Владимов. Три минуты молчания,Вагриус,2004.0,книга,ПК письменных текстов,none,113371
148,post1950/zakharov/xx/annenkov/ann_dn,Ю. П. Анненков,муж,1889,Дневник моих встреч,1966,публицистика | нехудожественная,,мемуары,,Россия: 1-я пол. XX в,нейтральный,н-возраст,н-уровень,большая,"Юрий Анненков. Дневник моих встреч. М.: Захаров, 2001",Юрий Анненков. Дневник моих встреч,Захаров,2001.0,книга,ПК письменных текстов,none,150090
149,post1950/zakharov/xx/bovin/5let,Александр Бовин,муж,1930,"Пять лет среди евреев и мидовцев, или Израиль из окна российского посольства",1999,публицистика | нехудожественная,,"дневник, записные книжки",,Ближний Восток: современность,нейтральный,н-возраст,н-уровень,большая,"Александр Бовин. Пять лет среди евреев и мидовцев, или Израиль из окна российского посольства (из дневника). М., Захаров, 2000",Александр Бовин. XX век как жизнь,Захаров,2000.0,книга,ПК письменных текстов,none,156359
150,post1950/zakharov/xx/goljaxovsky/goljax,Владимир Голяховский,муж,1940-1950,Русский доктор в Америке,1984-2001,публицистика | нехудожественная,,мемуары,,Америка: современность,нейтральный,н-возраст,н-уровень,большая,"Владимир Голяховский. Русский доктор в Америке. История успеха. М.: Захаров, 2001",Владимир Голяховский. Русский доктор в Америке,Захаров,2001.0,книга,ПК письменных текстов,none,141477
