,path,author,sex,birthday,header,created,sphere,genre_fi,type,topic,chronotop,style,audience_age,audience_level,audience_size,source,publication,publisher,publ_year,medium,subcorpus,tagging,words
24,post1950/vagr/masslit/akimov/plata,Петр Акимов,муж,,Плата за страх,2000,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Петр Акимов. Плата за страх. М.: Вагриус, 2000",Петр Акимов. Плата за страх,Вагриус,2000.0,книга,ПК письменных текстов,none,86940
25,post1950/vagr/masslit/docenko/srok,Виктор Доценко,муж,1946.0,Срок для Бешеного,1993,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Виктор Доценко. Срок для Бешеного. М.: Вагриус, 2000",Виктор Доценко. Срок для Бешеного,Вагриус,2000.0,книга,ПК письменных текстов,none,82490
26,post1950/vagr/masslit/docenko/tridcatogo,Виктор Доценко,муж,1946.0,Тридцатого уничтожить!,2000,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Виктор Доценко. Тридцатого уничтожить! М.: Вагриус, 2000",Виктор Доценко. Тридцатого уничтожить!,Вагриус,2000.0,книга,ПК письменных текстов,none,88374
27,post1950/vagr/masslit/dvoreckij/shakaly,Лев Дворецкий,муж,1927.0,Шакалы,2000,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Лев Дворецкий. Шакалы. М.: Вагриус, 2000",Лев Дворецкий. Шакалы,Вагриус,2000.0,книга,ПК письменных текстов,none,84872
28,post1950/vagr/masslit/rybin/igra,Алексей Рыбин,муж,,Последняя игра,2000,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Алексей Рыбин. Последняя игра. М.: Вагриус, 2000",Алексей Рыбин. Последняя игра,Вагриус,2000.0,книга,ПК письменных текстов,none,81506
29,post1950/vagr/masslit/skvorcov/kanikuly,Валериан Скворцов,муж,1935.0,Каникулы вне закона,2001,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Валериан Скворцов. Каникулы вне закона. М.: Вагриус, 2001",Валериан Скворцов. Каникулы вне закона,Вагриус,2001.0,книга,ПК письменных текстов,none,89631
30,post1950/vagr/masslit/taranov/mstiteli,Сергей Таранов,муж,1948.0,Мстители,1999,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Сергей Таранов. Мстители. М.: Вагриус, 1998",Сергей Таранов. Мстители,Вагриус,1998.0,книга,ПК письменных текстов,none,84656
31,post1950/vagr/masslit/valeeva/skoraja,Влада Валеева,жен,,Скорая помощь,2002,художественная,"детектив, боевик",роман,,Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Влада Валеева. Скорая помощь. М.: Вагриус, 2002",Влада Валеева. Скорая помощь,Вагриус,2002.0,книга,ПК письменных текстов,none,86137
32,post1950/vagr/nd/shmyga/schastye,Татьяна Шмыга,жен,1928.0,Счастье мне улыбалось...,2000,публицистика | нехудожественная,,мемуары,,Россия/СССР: советский период|Россия: постсоветский период,нейтральный,н-возраст,н-уровень,большая,"Татьяна Шмыга. Счастье мне улыбалось. М.: Вагриус, 2001",Т. Шмыга. Счастье мне улыбалось,Вагриус,2001.0,книга,ПК письменных текстов,none,83847
33,post1950/vagr/vagr1/bykov/znak,Василь Быков,муж,1924.0,Знак беды,1982,художественная,нежанровая проза,повесть,,Россия/СССР: 1941-1945,нейтральный,н-возраст,н-уровень,большая,"Василь Быков. Бедные люди. М.: Вагриус, 2002",Василь Быков. «Бедные люди»,Вагриус,2002.0,книга,ПК письменных текстов,none,80586
